Species,Locality,Lat,Lon,Elevation(feet),Binary
T_costalimai,Ponto 7 ,0.08789,-57.26074,630,0
T_costalimai,Ponto 8 ,-0.35156,-55.59082,1007.2,0
T_costalimai,Ponto 9 ,-27.01998,-49.57031,1152.7,0
T_costalimai,Ponto 10 ,-27.68353,-53.78906,1371.3,0
T_costalimai,Ponto 11 ,-29.68805,-58.18359,336.8,0
T_costalimai,Ponto 12 ,-29.38218,-61.25977,216.5,0
T_costalimai,Ponto 13 ,-27.83908,-59.98535,206.7,0
T_deaneorum,State of Goiíçs ,-15.82704,-49.83622,2282.4,1
T_deaneorum,State of Mato Grosso ,-12.68187,-56.9211,1044,1
T_deaneorum,Ponto 3 ,-0.52734,-55.7666,1190.6,0
T_deaneorum,Ponto 4 ,0.30762,-60.20508,459.2,0
T_deaneorum,Ponto 5 ,-0.79099,-66.48926,275.8,0
T_deaneorum,Ponto 6 ,2.72358,-65.91797,456,0
T_deaneorum,Ponto 7 ,2.54799,-68.29102,429,0
T_deaneorum,Ponto 8 ,2.98693,-61.43555,344.2,0
T_deaneorum,Ponto 9 ,-0.79099,-72.42187,561.2,0
T_deaneorum,Ponto 10 ,2.76748,-55.37109,932.6,0
T_deaneorum,Ponto 11 ,-2.19673,-68.15918,381,0
T_deaneorum,Ponto 12 ,0.83493,-70.53223,727.9,0
T_delpontei,Buenos Aires Province ,-37.20173,-59.84107,787.6,1
T_delpontei,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_delpontei,Cordoba ,-31.43547,-64.2009,1385.7,1
T_delpontei,Corrientes Province ,-27.50485,-58.78043,207,1
T_delpontei,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_delpontei,Salta ,-24.78308,-65.41037,3892.8,1
T_delpontei,Santa Fe ,-31.61066,-60.69729,65.1,1
T_delpontei,Santiago del Estero Province ,-27.79104,-64.27344,618,1
T_delpontei,Tucumíçn ,-26.82211,-65.21929,1487,1
T_delpontei,Chaco Province ,-27.42572,-59.02438,175.6,1
T_delpontei,Jujuy ,-24.18434,-65.30218,4181.7,1
T_delpontei,Formosa Province ,-26.18948,-58.22428,209.8,1
T_delpontei,La Pampa Province ,-36.61476,-64.28392,583.6,1
T_delpontei,Santa Cruz ,-16.7476,-62.0751,1206,1
T_delpontei,Presidente Hayes Department ,-23.35126,-58.73736,331.4,1
T_delpontei,Uruguay ,-32.52278,-55.76584,290.9,1
T_delpontei,State of Rio Grande do Sul ,-30.03463,-51.2177,62.1,1
T_delpontei,Ponto 18 ,-5.87833,-62.66602,226,0
T_delpontei,Ponto 19 ,-6.83917,-59.50195,640.4,0
T_delpontei,Ponto 20 ,-5.44102,-55.19531,816.2,0
T_delpontei,Ponto 21 ,-6.48998,-53.61328,1003.5,0
T_delpontei,Ponto 22 ,-7.10089,-50.80078,1222.4,0
T_delpontei,Ponto 23 ,-7.53676,-46.40625,996,0
T_delpontei,Ponto 24 ,-9.36235,-44.29687,1317.4,0
T_delpontei,Ponto 25 ,-6.3153,-39.90234,1820.2,0
T_delpontei,Ponto 26 ,-0.79099,-53.96484,824.7,0
T_delpontei,Ponto 27 ,2.46018,-66.18164,328.1,0
T_dimidiata,Belize ,17.18988,-88.49765,182.6,1
T_dimidiata,Cundinamarca ,5.026,-74.03001,9880.4,1
T_dimidiata,Boyaca ,5.45451,-73.362,7905.7,1
T_dimidiata,Boavita ,6.33152,-72.58342,7183.4,1
T_dimidiata,Huila ,2.53593,-75.52767,1870.4,1
T_dimidiata,Norte ,7.15004,-73.13333,2537.8,1
T_dimidiata,Magdalena ,10.4113,-74.40566,147.6,1
T_dimidiata,Casanare ,5.75893,-71.5724,564.7,1
T_dimidiata,Pore ,5.72656,-71.99394,921.5,1
T_dimidiata,Santa Marta ,11.23311,-74.19292,48.3,1
T_dimidiata,Sierra Nevada de Santa Marta ,10.82924,-73.69234,17835.2,1
T_dimidiata,Sucre ,8.81398,-74.72328,49.8,1
T_dimidiata,San Onofre ,9.74084,-75.51987,115.4,1
T_dimidiata,Isla de Providencia ,13.33876,-81.37294,222.6,1
T_dimidiata,Antioquia ,7.19861,-75.34122,3348.6,1
T_dimidiata,Bolivar ,8.67044,-74.03001,939.4,1
T_dimidiata,Cesar ,9.33729,-73.65362,86.8,1
T_dimidiata,Santander Department ,6.64371,-73.65362,2313.7,1
T_dimidiata,San Joaquí_n ,6.4278,-72.86808,6478.7,1
T_dimidiata,Costa Rica ,9.74892,-83.75343,4605.5,1
T_dimidiata,El Salvador ,13.79419,-88.89653,2074.4,1
T_dimidiata,Guayaquil ,-2.171,-79.92236,115.5,1
T_dimidiata,Cerro Del Carmen ,-2.18066,-79.88428,242.4,1
T_dimidiata,Pedro Carbo ,-1.81975,-80.23771,185.6,1
